"My customers answers";"Réponses de mes clients"
"There is no comment for this news";"Il n'y a pas de commentaire pour cette actu"
"Publishing date";"Date de publication"
"Insert a";"Insérez une"
"Your comment";"Votre commentaire"
Comment;Commentez
"Information successfully saved";"Info sauvegardée avec succès"
Error;Erreur
"Your message has been successfully saved.";"Votre message a bien été pris en compte."
"It will be visible only after validation by our team.";"Il ne sera visible qu'après validation de notre équipe."
"An error occurred while deleting this answer. Please try again later.";"Une erreur est survenue lors de la suppression de  la réponse. Merci de réessayer ultérieurement"
"Create a news:";"Créez une info :"
"Information successfully deleted";"Info supprimée avec succès"
"Information successfully displayed";"Info affichée avec succès"
"Information successfully hidden";"Info cachée avec succès"
"Show this info";"Afficher cette actu"
"Hide this info";"Masquer cette actu"
"Pull up to display more";"Tirez vers le haut pour afficher plus"
"Release to refresh...";"Relâchez pour actualiser..."
Loading...;Chargement...
"Nothing more to display";"Aucune autre actualité"
"Your like has been successfully added";"Votre <i>like</i> a bien été pris en compte."
"You can't like more than once the same news";"Vous ne pouvez pas aimer plusieurs fois la même actualité."
"Please, enter a comment";"Veuillez saisir un commentaire"
Like;Aimez
