Custom;Perso
"Send your pictures";"Envoyez vos images"
Title:;"Titre :"
Description:;"Description :"
"Delete this calendar?";"Etes-vous sûr de vouloir supprimer cet agenda ?"
"Delete this event?";"Etes-vous sûr de vouloir supprimer cet évènement ?"
"Enter your calendar's title";"Entrez le titre de votre agenda"
Title:;"Titre :"
"Calendar's title";"Titre de votre agenda"
at;à
"Your calendar is empty";"Il n'y a pas d'événements dans votre agenda"
Event;Evénement
"Modify the event";"Modifier l'évènement"
"Create a new event";"Créer un nouvel évènement"
"Event title:";"Nom de l'évènement :"
"Beginning date:";"Date de début :"
"Ending date:";"Date de fin :"
Location:;"Localisation :"
"Expected answer:";"Réponse attendue :"
Picture:;"Illustration :"
"Change picture";"Modifiez l'illustration"
"Add a picture";"Ajoutez une illustration"
"Facebook page ID:";"identifiant de votre page Facebook :"
"Calendar's URL";"Adresse de votre agenda"
"Event successfully saved";"L'évênement a été sauvegardé avec succès"
"Calendar successfully deleted";"Agenda supprimé avec succès"
"An error occurred while loading this event";"Une erreur est survenue lors du chargement de l'évènement"
"Picture successfully saved";"Enregistrement réussi"
"Event successfully deleted";"Evènement supprimé avec succès"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Identifiant de votre page Facebook <span class=""required-entry"">*</span> :"
"Your Facebook page ID";"Identifiant de votre page Facebook"
"RSVP URL:";"Url RSVP :"
"An error occurred while deleting the event";"Une erreur est survenue lors de la suppression de l'évènement"
"More events";"Plus d'évènements"
