"Your browser is too old and can not display the content optimally";"Votre navigateur est trop ancien et n'affichera pas les contenus de manière optimale.<br />"
"To fully enjoy all our features, we recommend you to use at least: <br />";"Afin de profiter pleinement de toutes nos fonctionnalités, nous vous recommandons d'utiliser au moins : <br />"
;
Features;Fonctionnalités
"Photos and Videos Galleries";"Galeries photos et vidéos"
"Photos and videos are the best way to convey the atmosphere of a celebration or store.";"Rien de mieux que des photos ou des vidéos pour mettre en valeur les soirées ou l'ambiance d'un commerce."
"Photos Galleries";"Galerie photos"
"Product / price list";"Listing produits"
"Product / price list";"Listing produits / tarifs"
"Emphasize the products and prices of your clients by making information available on their clients mobile.";"Mettez en avant les produits et tarifs de vos clients commerçants, sur le mobile de leurs clients"
"White Label Admin Panel";"Interface en Marque Blanche"
"You want to resell mobile applications to your clients. Would you like to enable them to manage their own application? No problem. We provide an interface in your image, with your design, in your name, on your website.";"Vous créez des applications mobiles pour vos clients. Vous souhaitez leur permettre de gérer leur application eux-mêmes ? Oui ? Pas de souci, nous vous fournissons une interface à vos couleurs, à votre nom, sur votre site."
"White Label Admin Panel";"Interface en Marque Blanche"
"Touch To Call";"Touch To Call"
"Calling a store is just a touch away. You can integrate the button into your application in one click.";"Quoi de mieux qu'un appel en une touche pour joindre un commerce ? En un clic, intégrez un bouton d'appel sur vos applications mobiles."
"Clients will never have to hunt for the store number again.";"Fini les longues recherches de numéros de téléphone."
Geolocation;Géo-localisation
"Integrate your store address and enable your clients to find it directly using the mobile application.";"Intégrez très simplement l'adresse d'un commerce et permettez aux clients de le situer directement depuis l'application mobile."
"Sell all features";"Voir toutes les fonctionnalités"
"In a matter of minutes, create Iphone and Android native apps, as well as a mobile website for many small businesses. Thanks to our full white label system, you keep a total control of your customers.";"Créez en quelques minutes des applications mobiles pour les commerçants. Aucune connaissance technique n'est requise et nous publions votre application dès qu'elle est prête."
Restaurants;Restaurants
Sports;Sports
Bars;Bars
"Fashion / Clothing";"Mode / Vêtements"
"Fashion<br />Clothing";Mode
"Snacking / Restaurants";"Snacking / Restaurants"
"Snacking<br />Restaurants";"Snacking<br />Restaurants"
"Hotels / Pensions";"Hôtels / Gîtes"
"Hotels<br />Pensions";"Hôtels<br />Gîtes"
"Real Estate";Immobilier
"Hair / Beauty";"Coiffeurs / beauté"
"Hair<br />Beauty";Coiffeurs
"Bars / Cafes";"Bars / Cafés"
"Bars<br />Cafes";"Bars<br />Cafés"
"Our applications can run on all devices:";"Nous supportons toutes les plateformes"
"IPhones, Android and HTML5 for users of Windows 8 and BlackBerry.<br />You have nothing to worry about. Tiger will do the work for you.";"Iphones, Android, et HTML5 pour toucher les utilisateurs de Windows 8 et BlackBerry.<br />Ne vous souciez de rien, Tiger s'occupe de créer du joli code pour vous."
"Effective applications + Fair price = Happy customers";"Apps efficaces + Prix minime = Des clients heureux"
"I was skeptical at first, but I have to admit that you deliver. My clients' smiling faces are proof of that.";"Au début j'étais sceptique, mais maintenant j'avoue vous êtes au top. J'aime voir la tête ravie de mes clients."
"Freelance developer";"Développeur freelance"
"Your solution helped me develop my product portfolio, and sales are booming! Thanks again!";"Merci encore, j'ai pu développer mon portefeuille de produits avec votre solution et ça se vend très bien !"
"Software supplier";"Distributeur logiciel"
"I only wish that our competitors couldn't use your solution (...) it's a dream come true for us.";"J'aimerai qu'une seule chose c'est que nos concurrents n'utilisent pas votre solution (...) on en rêvait."
"Project manager";"Chef de projet"
Pricing;Prix
