"My passwords";"Mes mots de passe"
"Current card";"Carte en cours"
"Card name";"Nom de la carte"
"Number of points";"Nombre de points"
Reward;"Avantage offert"
point;point
Conditions;Conditions
"Previous cards";"Anciennes cartes"
"You don't have any loyalty cards yet";"Vous n'avez pas encore de carte de fidélité"
"My new loyalty card";"Ma nouvelle carte de fidélité"
"Employee's name";"Nom de l'employé"
"Employee's password";"Son mot de passe"
"Delete this password?";"Etes-vous sûr de vouloir supprimer ce mot de passe ?"
"We are sorry but this card is temporarily blocked";"Nous sommes désolés mais votre carte est temporairement bloquée"
"We are sorry, your card is temporarily blocked";"Nous sommes désolés, votre carte est temporairement bloquée."
"1 validated point = ";"1 point validé ="
"validated points = ";"points validés ="
"%d validated points = ";"%d points validés ="
"1 loyalty point =";"1 point de fidélité ="
"Please log in.";"Veuillez vous connecter..."
Congratulations;Félicitations
"You have unlocked %d loyalty card%s";"Vous avez validé %d carte%s de fidélité"
"You own:";"Vous disposez de :"
"Use this discount";"Utiliser cette promo"
"Your loyalty card has been saved successfully";"Carte de fidélité sauvegardée avec succès"
"An error occurred while saving your loyalty card. Please fill all fields in.";"Une erreur est survenue lors de la sauvegarde de votre carte de fidélité. Merci de renseigner tous les champs."
"An error occurred while saving your loyalty card.";"Une erreur est survenue lors de la sauvegarde de votre carte de fidélité."
"An error occurred while saving the password. Please try again later.";"Une erreur est survenue lors de la sauvegarde du mot de passe. Merci de réessayer ultérieurement."
"Your password must be 4 digits";"Votre mot de passe doit comporter 4 chiffres"
"Card name";"Nom de la carte"
"Number of points";"Nombre de points"
Reward;"Avantage offert"
"Person who has validated the card";"Personne ayant validée la carte"
"There is no card to export between %s and %s";"Il n'y a pas de carte à exporter entre le %s et le %s"
"Loyalty card points validation alert";"Alerte de validation des points de fidélité"
"You must be logged in to validate points";"Vous devez être connecté pour pouvoir valider un point de fidélité"
"An error occurred while validating point. Please try again later.";"Une erreur est survenue lors de la validation. Merci de réessayer ultérieurement."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Mot de passe erroné.<br />Attention, plus que %d tentative%s avant blocage de votre carte.<br />Veuillez faire valider par le commerçant."
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Vous avez dépassé le quota d'essai pour valider un point de fidélité. Votre carte est bloquée pour 24h."
"Point%s successfully validated";"Point%s validé%s avec succès"
"You just finished your card";"Vous venez de clôturer votre carte de fidélité"
"An error occurred while creating your post";"Une erreur est survenue lors de la création de votre post"
"Could not post on your social network";"Impossible de poster sur votre réseau social"
"You're gonna validate <span id=""number_of_points"">1 point</span>";"Vous allez valider <span id=""number_of_points"">1 point</span>"
"Please enter the password";"Veuillez saisir le mot de passe"
point;point
"Please enter a name";"Veuillez saisir un nom"
