"Identifier";"Identifiant"
"Identifier:";"Identifiant :"
"Rating:";"Classe:"
"Label:";"Label :"
"Latitude:";"Latitude :"
"Longitude:";"Longitude :"
"Number of rooms:";"Nombre de chambres :"
"Information:";"Informations :"
"Opening Details:";"Détails d'ouvertures :"
"Indexing data... This process will take #{d}. Please, do not refresh the page.";"Indexation des données en cours... Ce processus prend #{d}, merci de ne pas rafraîchir la page."
"about %s hour";"environ %s heure"
"about %s hours";"environ %s heures"
"less than a minute";"moins d'une minute"
"This identifier is already used.";"Cet identifiant est déjà utilisé."
"Unable to automatically retrieve the coordinates of this place. Please, provide them manually.";"Impossible de trouver les coordonnées GPS automatiquement. Merci de les saisir manuellement."
"Distance:";"Distance :"
