"Send my messages";"Envoyer mes messages"
Message;Message
"Creation date";"Date de création"
"Sending date";"Date d'envoi"
Pending;"Non envoyé"
"Please wait, this could take a few minutes";"Veuillez patienter s'il vous plaît, cette opération peut prendre plusieurs minutes"
"You don't have any push notifications";"Vous n'avez pas de notification"
"Your message could not be sent";"Votre message n'a pas pu être envoyé"
"No application match the selection";"Aucune application ne correspond à la sélection"
"Please, do not try to send other application's notifications";"Merci de ne pas tenter d'envoyer les notifications d'une autre application"
"Your messages has been sent successfully";"Vos messages ont été envoyés avec succès"
"Your message has been sent successfully";"Votre message a été envoyé avec succès"
"You do not have any message to send";"Vous n'avez pas de message à envoyer"
"An error occurred while sending your push notifications";"Une erreur est survenue lors de l'envoi des notifications."
Title:;"Titre :"
Message:;"Message :"
"Your message has been saved successfully and will be sent in a few minutes";"Votre message a bien été enregistré et sera envoyé dans quelques minutes"
"Your message has been saved successfully and will be sent at the entered date";"Votre message a bien été enregistré et sera envoyé à la date indiquée"
"The duration limit must be higher than the sent date";"La limite de durée doit être supérieure à la date d'envoi"
"I want to send it";"Je veux l'envoyer"
"<a href=""%s"">Click here to provide the required information to send push notifications</a>";"<a href=""%s"">Cliquez ici pour paramétrer les certificats nécessaires à l'envoi des notifications push</a>"
"Additionnal Information";"Informations complémentaires"
now;maintenant
"on a specific date";"à une date spécifique"
"and users entering the area";"ainsi qu'aux utilisateurs entrant dans la zone"
"for a limited period";"pendant une durée limitée"
"Send to all my users";"Envoyer à tous mes utilisateurs"
"Send to a specific location";"Envoyer dans une localisation précise"
"Enter a location:";"Saisissez une adresse :"
"And a radius (in Km):";"Et un rayon (en Km) :"
"Push Notifications Settings";"Paramètres des notifications push"
"Send you .pem certificate";"Envoyez votre certificat .pem"
"You have already sent a certificate";"Vous avez déjà envoyé un certificat"
"GCM Key";"Clé GCM"
"Sender ID";"Sender ID"
